Iteration,Discriminator Loss,Generator Loss
5540,1.348986,0.707257
5550,1.362793,0.579083
5560,1.363700,0.700463
5570,1.370064,0.585617
5580,1.347961,0.697255
5590,1.373882,0.718695
5600,1.374034,0.593332
5610,1.335456,0.600048
5620,1.349852,0.559480
5630,1.359954,0.569606
5640,1.366320,0.647847
5650,1.323339,0.517912
5660,1.334255,0.615834
5670,1.328557,0.596014
5680,1.325511,0.586000
5690,1.350721,0.600045
5700,1.345363,0.631333
5710,1.348938,0.681078
5720,1.374277,0.663741
5730,1.351286,0.666494
5740,1.364997,0.842486
5750,1.334071,0.550405
5760,1.355608,0.558077
5770,1.352096,0.552817
5780,1.330346,0.717727
5790,1.337830,0.636433
5800,1.353607,0.651051
5810,1.356419,0.602361
5820,1.336570,0.644493
5830,1.336796,0.658449
5840,1.296506,0.669927
5850,1.326399,0.583804
5860,1.373057,0.620416
5870,1.335797,0.690662
5880,1.331081,0.561862
5890,1.319518,0.520026
5900,1.337176,0.763283
5910,1.331419,0.652205
5920,1.318681,0.688946
5930,1.353874,0.726077
5940,1.321984,0.744559
5950,1.377719,0.699238
5960,1.316205,0.586551
5970,1.361974,0.741332
5980,1.355905,0.670022
5990,1.361280,0.588093
6000,1.368161,0.654923
6010,1.331857,0.747360
6020,1.333660,0.719814
6030,1.387631,0.597835
6040,1.342214,0.540590
6050,1.360911,0.561637
6060,1.370046,0.721878
6070,1.343310,0.677430
6080,1.314713,0.640399
6090,1.366716,0.677598
6100,1.346669,0.716912
6110,1.367425,0.700421
6120,1.339650,0.571443
6130,1.360993,0.608089
6140,1.347526,0.648587
6150,1.352623,0.682336
6160,1.347992,0.697016
6170,1.378360,0.533871
6180,1.372530,0.693221
6190,1.348525,0.736381
6200,1.340608,0.652920
6210,1.378409,0.818717
6220,1.346624,0.750830
6230,1.403441,0.529302
6240,1.396692,0.515462
6250,1.363695,0.716058
6260,1.404497,0.533038
6270,1.370750,0.610359
6280,1.328853,0.572244
6290,1.355053,0.603250
6300,1.366632,0.562435
6310,1.306650,0.598507
6320,1.370094,0.666450
6330,1.350151,0.700880
6340,1.362294,0.708099
6350,1.396468,0.791502
6360,1.365237,0.595070
6370,1.369378,0.610371
6380,1.388169,0.730016
6390,1.348586,0.725647
6400,1.319343,0.633138
6410,1.385428,0.535847
6420,1.365383,0.640110
6430,1.382782,0.581219
6440,1.372206,0.679102
6450,1.370040,0.532005
6460,1.362266,0.720797
6470,1.365055,0.666050
6480,1.369833,0.611529
6490,1.354973,0.638938
6500,1.367291,0.698817
6510,1.351526,0.616676
6520,1.376834,0.602160
6530,1.344290,0.759314
6540,1.343944,0.623165
6550,1.378629,0.570832
6560,1.366279,0.649032
6570,1.344736,0.806098
6580,1.379378,0.720837
6590,1.356475,0.604553
6600,1.373747,0.679304
6610,1.338083,0.735414
6620,1.357740,0.715296
6630,1.349747,0.780485
6640,1.368142,0.753255
6650,1.343784,0.529919
6660,1.340436,0.733727
6670,1.372191,0.786855
6680,1.345940,0.578295
6690,1.360464,0.627691
6700,1.333946,0.638713
6710,1.356230,0.683377
6720,1.398227,0.738670
6730,1.307596,0.643965
6740,1.375138,0.598339
6750,1.368083,0.655979
6760,1.346832,0.630083
6770,1.380913,0.594148
6780,1.379759,0.770673
6790,1.340446,0.611635
6800,1.384094,0.756927
6810,1.373497,0.641650
6820,1.369735,0.697912
6830,1.370733,0.729821
6840,1.315832,0.796006
6850,1.388405,0.781995
6860,1.287276,0.668108
6870,1.373686,0.750374
6880,1.376650,0.734908
6890,1.379492,0.629020
6900,1.382605,0.566360
6910,1.368095,0.826996
6920,1.369654,0.688758
6930,1.374904,0.765250
6940,1.368503,0.669365
6950,1.312153,0.683715
6960,1.378432,0.611894
6970,1.356058,0.746342
6980,1.387132,0.618644
6990,1.377870,0.675013
7000,1.372599,0.686277
7010,1.374751,0.650813
7020,1.384378,0.696064
7030,1.383552,0.567730
7040,1.300150,0.669527
7050,1.379922,0.699645
7060,1.378357,0.769579
7070,1.396715,0.775695
7080,1.371901,0.673726
7090,1.340953,0.706141
7100,1.364281,0.726342
7110,1.386151,0.586138
7120,1.366976,0.816567
7130,1.355586,0.587058
7140,1.379645,0.803776
7150,1.374623,0.681113
7160,1.368662,0.706773
7170,1.375558,0.603205
7180,1.364072,0.671498
7190,1.382269,0.627741
7200,1.357162,0.784558
7210,1.377074,0.743734
7220,1.370138,0.723118
7230,1.357787,0.717877
7240,1.379112,0.717024
7250,1.338869,0.706995
7260,1.376108,0.694658
7270,1.383383,0.605506
7280,1.361758,0.753321
7290,1.359104,0.664111
7300,1.378728,0.742523
7310,1.375595,0.801245
7320,1.383289,0.728776
7330,1.386567,0.702250
7340,1.375500,0.675228
7350,1.395887,0.579525
7360,1.378377,0.619605
7370,1.380554,0.581238
7380,1.381950,0.773676
7390,1.341433,0.589672
7400,1.325587,0.667397
7410,1.365602,0.729581
7420,1.358029,0.707344
7430,1.401567,0.747754
7440,1.363925,0.574172
7450,1.376203,0.774554
7460,1.322245,0.611822
7470,1.330737,0.662951
7480,1.415440,0.580953
7490,1.382470,0.733403
7500,1.351863,0.620285
7510,1.386256,0.749566
7520,1.362669,0.699423
7530,1.323324,0.632784
7540,1.374360,0.643110
7550,1.377378,0.676295
7560,1.336280,0.821661
7570,1.370618,0.695310
7580,1.379616,0.675526
7590,1.347895,0.722954
7600,1.365599,0.682417
7610,1.342458,0.634804
7620,1.371726,0.583409
7630,1.383156,0.702019
7640,1.330037,0.541728
7650,1.324178,0.603425
7660,1.368943,0.692003
7670,1.347710,0.675509
7680,1.339851,0.623002
7690,1.374067,0.694434
7700,1.309457,0.774792
7710,1.358811,0.732362
7720,1.369589,0.701591
7730,1.349792,0.750448
7740,1.331599,0.613737
7750,1.351651,0.754606
7760,1.403842,0.670378
7770,1.363405,0.736979
7780,1.353449,0.632346
7790,1.363162,0.688693
7800,1.361206,0.715231
7810,1.376602,0.753085
7820,1.398794,0.690148
7830,1.346197,0.691810
7840,1.335407,0.680644
7850,1.365057,0.669327
7860,1.368817,0.610152
7870,1.348554,0.666198
7880,1.390056,0.573820
7890,1.368216,0.723373
7900,1.363594,0.658399
7910,1.367888,0.676201
7920,1.329584,0.769907
7930,1.326557,0.616063
7940,1.341557,0.652096
7950,1.311757,0.625995
7960,1.390566,0.570144
7970,1.385039,0.620995
7980,1.382263,0.605822
7990,1.376800,0.665918
8000,1.370639,0.609818
8010,1.349643,0.619933
8020,1.359971,0.732742
8030,1.340423,0.685203
8040,1.314076,0.582258
8050,1.368177,0.754270
8060,1.371460,0.686004
8070,1.366140,0.618942
8080,1.360265,0.691569
8090,1.382844,0.724817
8100,1.355146,0.651390
8110,1.364250,0.725117
8120,1.365246,0.652637
8130,1.363760,0.516247
8140,1.390738,0.675300
8150,1.374802,0.723744
8160,1.339605,0.663697
8170,1.358163,0.784762
8180,1.338358,0.800555
8190,1.321221,0.488324
8200,1.367046,0.754078
8210,1.374269,0.667673
8220,1.353172,0.528055
8230,1.367098,0.664742
8240,1.374465,0.706254
8250,1.298683,0.683138
8260,1.380463,0.793777
8270,1.320276,0.693015
8280,1.379761,0.763273
8290,1.325501,0.650897
8300,1.341722,0.743381
8310,1.326751,0.598920
8320,1.314729,0.490199
8330,1.378887,0.621560
8340,1.382417,0.642754
8350,1.387565,0.566039
8360,1.375878,0.658046
8370,1.375732,0.664177
8380,1.356273,0.799329
8390,1.348102,0.650098
8400,1.327251,0.872745
8410,1.349316,0.731165
8420,1.279439,0.610145
8430,1.369475,0.573184
8440,1.368372,0.703483
8450,1.394941,0.673946
8460,1.364252,0.603790
8470,1.254918,0.634553
8480,1.332669,0.620120
8490,1.365667,0.702588
8500,1.382391,0.676978
8510,1.343329,0.645199
8520,1.364152,0.648480
8530,1.354492,0.726327
8540,1.349588,0.664642
8550,1.383401,0.673534
8560,1.366165,0.625196
8570,1.357171,0.676122
8580,1.367093,0.666805
8590,1.369031,0.597531
